object_id,ra,dec,WFC3_F502N,WFC3_F606W,WFC3_F625W,WFC3_F656N,WFC3_F775W
69d44m56pt29614464s7d16m27pt05143154s,69.74897115128907,7.274180953204831,0.0,0.0,0.0,0.0,0.0
69d44m49pt03772029s7d16m33pt65144138s,69.74695492230272,7.276014289271198,0.0,0.0,0.0,0.0,0.0
69d44m47pt02148888s7d16m31pt65143843s,69.74639485802234,7.275458732897742,0.0,0.0,0.0,0.0,0.0
83d14m19pt60251085s-37d01m34pt11295918s,83.23877847523715,-37.026142488662046,0.0,0.0,0.0,0.0,0.0
83d13m31pt00166154s-37d01m45pt11213223s,83.22527823931703,-37.029197814509274,0.0,0.0,0.0,0.0,0.0
83d14m26pt36626535s-37d01m32pt91263786s,83.24065729593194,-37.02580906607291,0.0,0.0,0.0,0.0,0.0
83d14m11pt83589649s-37d01m13pt31319679s,83.23662108235935,-37.02036477688699,0.0,0.0,0.0,0.0,0.0
135d09m40pt25284006s20d53m21pt28761991s,135.16118134445998,20.889246561085816,0.0,0.0,0.0,0.0,0.0
135d09m15pt42063723s20d53m20pt48862625s,135.15428351034092,20.889024618402086,0.0,0.0,0.0,0.0,0.0
135d08m46pt52043451s20d53m44pt48854338s,135.14625567625336,20.895691262048757,0.0,0.0,0.0,0.0,0.0
135d08m57pt01028476s20d53m49pt88872938s,135.14916952354343,20.897191313717816,0.0,0.0,0.0,0.0,0.0
135d09m28pt05055642s20d53m15pt68823891s,135.15779182122898,20.887691177475688,0.0,0.0,0.0,0.0,0.0
135d09m06pt42994093s20d53m57pt68874487s,135.15178609470314,20.899357984685366,0.0,0.0,0.0,0.0,0.0
135d09m17pt56217319s20d53m50pt88857857s,135.1548783814411,20.897469049602154,0.0,0.0,0.0,0.0,0.0
135d09m01pt29197837s20d53m29pt0887543s,135.1503588828811,20.891413542860217,0.0,0.0,0.0,0.0,0.0
135d09m12pt63809763s20d53m40pt88867693s,135.15351058267362,20.89469129914648,0.0,0.0,0.0,0.0,0.0
135d08m54pt86939303s20d53m54pt88870579s,135.1485748313986,20.898580196052816,0.0,0.0,0.0,0.0,0.0
135d08m58pt72285054s20d54m01pt88874269s,135.14964523626062,20.900524650747624,0.0,0.0,0.0,0.0,0.0
135d09m16pt70598875s20d53m56pt48859839s,135.15464055243186,20.899024610664153,0.0,0.0,0.0,0.0,0.0
135d08m52pt94267089s20d53m53pt0886783s,135.1480396308023,20.898080188417477,0.0,0.0,0.0,0.0,0.0
135d08m53pt3707574s20d53m57pt68868486s,135.14815854372222,20.899357968017405,0.0,0.0,0.0,0.0,0.0
135d08m55pt0834287s20d53m58pt28870842s,135.14863428574972,20.899524641227718,0.0,0.0,0.0,0.0,0.0
135d08m57pt65244372s20d53m59pt08873487s,135.1493479010342,20.89974687079747,0.0,0.0,0.0,0.0,0.0
135d08m56pt79607738s20d54m01pt28872719s,135.14911002149546,20.9003579797741,0.0,0.0,0.0,0.0,0.0
135d09m10pt92541051s20d53m36pt88870194s,135.153034836252,20.893580194983375,0.0,0.0,0.0,0.0,0.0
135d09m14pt56487688s20d53m44pt28864312s,135.15404579913232,20.895635734199505,0.0,0.0,0.0,0.0,0.0
135d09m09pt85504789s20d53m38pt48871516s,135.1527375133014,20.894024643099215,0.0,0.0,0.0,0.0,0.0
